Sigla da Cidade,Nome da Cidade,UF do Estado,Nome curto Empresa,Slug,Nome longo Empresa,Coordenadas,Input_Maximum,Input_Average,Input_Current,Output_Maximum,Output_Average,Output_Current,Extraction_Date
rs,Porto Alegre,RS,PIX TELIUM,telium,,"470,176 470,91 498,91 498,176","92050,00","56670,00","83330,00","663610,00","406840,00","606160,00",2024-08-26
rs,Porto Alegre,RS,PIX DEFFERRARI,defferrari,,"568,176 568,91 598,91 598,176","3600,00","1540,00","2050,00","21610,00","9830,00","15790,00",2024-08-26
rs,Porto Alegre,RS,PIX CIRION,cirion,,"665,176 665,91 695,91 695,176","41140,00","15440,00","28610,00","56370,00","39700,00","47010,00",2024-08-26
rs,Porto Alegre,RS,PIX GIGANETSUL,giganetsul,,"765,176 765,91 795,91 795,176","4750,00","1900,00","2900,00","12370,00","6330,00","8640,00",2024-08-26
rs,Porto Alegre,RS,PIX VOGEL,vogel,,"72,370 72,285 102,285 102,370","7480,00","4070,00","6070,00","74000,00","40580,00","60560,00",2024-08-26
rs,Porto Alegre,RS,PIX UFRGS,ufrgs,,"172,370 172,285 199,285 199,370","4770,00","2530,00","3350,00","20270,00","11090,00","17440,00",2024-08-26
rs,Porto Alegre,RS,PIX LEOVIN,lvt,,"271,370 271,285 299,285 299,370","6750,00","3040,00","4570,00","29470,00","15550,00","21410,00",2024-08-26
rs,Porto Alegre,RS,PIX ADYLNET,adylnet,,"370,370 370,285 398,285 398,370","35730,00","17170,00","27670,00","58310,00","30260,00","44950,00",2024-08-26
rs,Porto Alegre,RS,PIX RENOVARE,renovare,,"470,370 470,285 498,285 498,370","19390,00","8410,00","11750,00","75980,00","37430,00","55100,00",2024-08-26
rs,Porto Alegre,RS,PIX TRITELECOM,tritelecom,,"568,370 568,285 598,285 598,370","320,00","140,00","290,00","700,00","310,00","200,00",2024-08-26
rs,Porto Alegre,RS,PIX METROLAN,metrolan,,"665,370 665,285 695,285 695,370","3470,00","1730,00","2460,00","29900,00","16280,00","24390,00",2024-08-26
rs,Porto Alegre,RS,PIX Elea-PPOA2,elea-poa2,,"765,370 765,285 791,285 791,370","0,00","0,00","0,00","0,00","0,00","0,00",2024-08-26
rs,Porto Alegre,RS,PIX SCALA,scala,,"865,370 865,285 893,285 893,370","7540,00","4710,00","4580,00","6070,00","2380,00","1430,00",2024-08-26
ro,Porto Velho - Em ativação,RO,,olla,,"138,92,138,128,342,128,342,92",,,,,,,
ro,Porto Velho - Em ativação,RO,,nbs,,"368,132,274,226,280,232,244,233,337,139,330,132",,,,,,,
pe,Recife,PE,PIX HOTLINK,hotlink,PIX HOTLINK,"506,165,524,165,524,82,506,82","590,00","290,00","490,00","9470,00","5530,00","9100,00",2024-08-26
pe,Recife,PE,PIX SMART,smart,PIX SMART,"190,165,208,165,208,82,190,82","420,00","270,00","380,00","14190,00","7610,00","13670,00",2024-08-26
pe,Recife,PE,PIX 1TELECOM,1telecom,Pix 1TELECOM,"822,165,840,165,840,82,822,82","42950,00","27190,00","40770,00","22200,00","10620,00","21700,00",2024-08-26
pe,Recife,PE,PIX DTEL,dtel,PIX DTEL,"192,356,211,356,211,272,192,272","3760,00","1750,00","2870,00","13680,00","6180,00","13380,00",2024-08-26
pe,Recife,PE,PIX BR.DIGITAL,brdigital,PIX BR.DIGITAL,"822,356,840,356,840,272,822,272","30,00","0,00","0,00","0,00","0,00","0,00",2024-08-26
rj,Rio de Janeiro,RJ,,cbpf_equinix,,"414,195,414,235,617,235,617,195","82010,00","40530,00","81980,00","38060,00","25010,00","32800,00",2024-08-26
